0.5,BTC,start,0.5,0
22.573363431151243,ETH,buy,0.0,22.573363431151243
22.573363431151243,ETH,sell,0.4997742663656885,0.0
22.64495996219703,ETH,buy,0.0,22.64495996219703
22.64495996219703,ETH,sell,0.49909491756682256,0.0
22.563061372822,ETH,buy,0.0,22.563061372822
22.563061372822,ETH,sell,0.4993205481805508,0.0
22.522352195784883,ETH,buy,0.0,22.522352195784883
22.522352195784883,ETH,sell,0.4984196540927195,0.0
22.512179498316147,ETH,buy,0.0,22.512179498316147
22.512179498316147,ETH,sell,0.501796481017467,0.0
22.82968521462543,ETH,buy,0.0,22.82968521462543
22.82968521462543,ETH,sell,0.5015681841653208,0.0
22.767507224935123,ETH,buy,0.0,22.767507224935123
22.767507224935123,ETH,sell,0.4981530580815805,0.0
22.819654515876337,ETH,buy,0.0,22.819654515876337
22.819654515876337,ETH,sell,0.5008914166234856,0.0
22.913605518000253,ETH,buy,0.0,22.913605518000253
22.913605518000253,ETH,sell,0.5036410492856456,0.0
22.851227281562867,ETH,buy,0.0,22.851227281562867
22.851227281562867,ETH,sell,0.495414607464283,0.0
22.851227281562867,ETH,buy,0.0,22.851227281562867
22.851227281562867,ETH,sell,0.49747121791962357,0.0
22.736344511865795,ETH,buy,0.0,22.736344511865795
22.736344511865795,ETH,sell,0.4974712179196236,0.0
22.725957876638812,ETH,buy,0.0,22.725957876638812
22.725957876638812,ETH,sell,0.4981529966559227,0.0
22.77791479908197,ETH,buy,0.0,22.77791479908197
22.77791479908197,ETH,sell,0.49701410091596854,0.0
22.77791479908197,ETH,buy,0.0,22.77791479908197
22.77791479908197,ETH,sell,0.4972418800639594,0.0
22.757065449151458,ETH,buy,0.0,22.757065449151458
22.757065449151458,ETH,sell,0.4970143094094679,0.0
22.967389529088166,ETH,buy,0.0,22.967389529088166
22.967389529088166,ETH,sell,0.49862202667650407,0.0
22.94625065239319,ETH,buy,0.0,22.94625065239319
22.94625065239319,ETH,sell,0.4972452516373604,0.0
23.03127612956741,ETH,buy,0.0,23.03127612956741
23.03127612956741,ETH,sell,0.4979361899212474,0.0
23.0099902921094,ETH,buy,0.0,23.0099902921094
23.0099902921094,ETH,sell,0.49448469137743106,0.0
23.031424842917144,ETH,buy,0.0,23.031424842917144
23.031424842917144,ETH,sell,0.49863034784915616,0.0
23.04206783036766,ETH,buy,0.0,23.04206783036766
23.04206783036766,ETH,sell,0.49932160988406715,0.0
22.946765160113383,ETH,buy,0.0,22.946765160113383
22.946765160113383,ETH,sell,0.49794480397446045,0.0
22.77881079480606,ETH,buy,0.0,22.77881079480606
22.77881079480606,ETH,sell,0.49748922775856436,0.0
22.757970162788855,ETH,buy,0.0,22.757970162788855
22.757970162788855,ETH,sell,0.4965789089520528,0.0
22.716327033488234,ETH,buy,0.0,22.716327033488234
22.716327033488234,ETH,sell,0.4952159293300435,0.0
